자치구 명,거래년도,소형 거래건수,중소형 거래건수,중형 거래건수,중대형 거래건수,대형 거래건수,소형 거래금액,중소형 거래금액,중형 거래금액,중대형 거래금액,대형 거래금액
강남구,2018.0,211.45454545454547,174.5909090909091,51.36363636363637,126.04545454545455,84.68181818181819,635635136.6181818,907769121.8863636,880621331.7863636,1205199708.9681818,1624604015.9545455
강동구,2018.0,217.0,348.8888888888889,39.833333333333336,122.72222222222223,8.88888888888889,401067859.6,526606462.5833333,441724919.4666667,603058346.6944444,536392856.57777774
강북구,2018.0,119.6923076923077,150.92307692307693,0.23076923076923078,32.07692307692308,0.6153846153846154,255254867.6076923,356394251.23846155,57538461.538461536,359393616.0307692,67000000.0
강서구,2018.0,289.4,306.55,19.0,64.7,11.3,301551765.12,427738630.15999997,290986853.69,524346207.75,303812911.90999997
관악구,2018.0,142.28571428571428,133.42857142857142,8.380952380952381,43.904761904761905,3.238095238095238,287513920.447619,414463696.052381,241573075.31428573,501007785.79523814,168645675.75238097
광진구,2018.0,89.26666666666667,172.53333333333333,5.4,25.066666666666666,28.266666666666666,339161434.54,475889978.5,254412197.15333334,434908690.3666667,533320613.9533333
구로구,2018.0,305.46666666666664,356.8,15.0,91.53333333333333,10.333333333333334,275452653.1333333,379156477.0133333,214319508.23999998,402263348.6,251840085.73333332
금천구,2018.0,148.1,147.5,17.4,41.7,1.2,236348121.08,329475930.71,252117992.42,302501095.15999997,180637500.0
노원구,2018.0,721.1052631578947,350.57894736842104,23.473684210526315,76.36842105263158,7.631578947368421,254173840.84210527,386365824.0157895,288720464.99473685,432883921.3894737,169538756.41578948
도봉구,2018.0,298.42857142857144,319.92857142857144,17.214285714285715,36.785714285714285,4.357142857142857,227692038.95714286,333485491.92142856,191635383.7642857,424847607.0285714,280125993.05
동대문구,2018.0,208.21428571428572,258.5,19.857142857142858,89.85714285714286,6.928571428571429,330347263.6642857,448143330.9357143,268772441.71428573,546770019.7714286,407174865.90000004
동작구,2018.0,154.93333333333334,320.73333333333335,4.4,109.86666666666666,13.6,401199218.81333333,537745266.7933333,391047314.52666664,674564976.3333334,562900917.4
마포구,2018.0,187.125,251.625,6.9375,101.75,28.5625,403890694.24375,569510941.66875,444653321.18125,730624464.45,696564029.95
서대문구,2018.0,157.57142857142858,230.35714285714286,4.071428571428571,66.14285714285714,10.142857142857142,334810722.90000004,468789138.5142857,275448129.25714284,577372286.6714286,504388745.4857143
서초구,2018.0,104.66666666666667,220.72222222222223,39.05555555555556,113.88888888888889,101.55555555555556,590387838.4222223,930142722.4000001,940220871.5333333,1223527829.5,1477990016.5555556
성동구,2018.0,162.58823529411765,251.23529411764707,12.764705882352942,77.47058823529412,11.352941176470589,460601633.09999996,569823009.682353,375424626.3352941,694633240.4941176,717194309.9411764
성북구,2018.0,205.5,221.9,3.05,87.35,9.0,304051183.4,420178891.145,208284303.57,512759061.43,331992791.235
송파구,2018.0,174.07692307692307,273.2307692307692,29.46153846153846,96.07692307692308,42.19230769230769,476197718.93846154,662590202.0,558104809.9730769,824665732.1384615,798948651.7153846
양천구,2018.0,173.61111111111111,294.1111111111111,33.44444444444444,81.0,31.833333333333332,362346517.1611111,473599663.84444445,457484046.3777778,605371236.4388889,521739405.18888885
영등포구,2018.0,173.0,244.0,18.333333333333332,61.333333333333336,28.77777777777778,329456095.29444444,484197098.4277778,304189959.9777778,580407803.3333334,360448545.9777778
용산구,2018.0,84.5625,103.4375,22.6875,84.1875,90.25,374369649.375,601002068.1875,438818706.50625,761861055.2,915796546.525
은평구,2018.0,125.375,227.125,23.5,46.875,10.5625,284990463.84375,364872251.45625,262880409.59375,487887745.025,409389862.3625
종로구,2018.0,39.333333333333336,36.0,4.111111111111111,14.11111111111111,10.555555555555555,219254444.37944445,391006992.3833333,237136127.35555553,376572581.1611111,339390719.35555553
중구,2018.0,55.0,80.46666666666667,1.8,41.13333333333333,21.6,309733022.25333333,468072294.42,221749037.06666666,576105391.0666667,902540080.1466668
중랑구,2018.0,179.5,189.5625,14.8125,49.1875,1.375,242441010.28125,359982528.2625,311412355.93125,375960366.88125,282234767.53125
